	input_vars_id	input_vars	satdeficit	eval_fraction	regtypes	tree_maxdepth	subdomain_sizes
0	R0	('qtm', 'qsm', 'pm', 'tm', 'qlm')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
1	R1	('qtm', 'qsm', 'pm', 'tm', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
2	R2	('qtm', 'qsm', 'pm', 'tm', 'var_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
3	R3	('qtm', 'qsm', 'pm', 'tm', 'var_t')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
4	R01	('qtm', 'qsm', 'pm', 'tm', 'qlm', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
5	R02	('qtm', 'qsm', 'pm', 'tm', 'qlm', 'var_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
6	R03	('qtm', 'qsm', 'pm', 'tm', 'qlm', 'var_t')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
7	R21	('qtm', 'qsm', 'pm', 'tm', 'var_l', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
8	R31	('qtm', 'qsm', 'pm', 'tm', 'var_t', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
9	R23	('qtm', 'qsm', 'pm', 'tm', 'var_l', 'var_t')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
10	R021	('qtm', 'qsm', 'pm', 'tm', 'qlm', 'var_l', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
11	R031	('qtm', 'qsm', 'pm', 'tm', 'qlm', 'var_t', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
12	R023	('qtm', 'qsm', 'pm', 'tm', 'qlm', 'var_l', 'var_t')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
