	input_vars_id	input_vars	satdeficit	eval_fraction	regtypes	tree_maxdepth	subdomain_sizes	refstd	samplestd	samplecorr	exectime
0	R201	['qtm,qsm,pm,tm,var_l,qlm,skew_l']	False	0.2	decision_tree	10	1	0.1064802259206772	0.1038282371685091	0.9691710148076214	0:00:00.183944
1	R201	['qtm,qsm,pm,tm,var_l,qlm,skew_l']	False	0.2	decision_tree	10	5	0.11900818347930907	0.11589864459522127	0.960738243582132	0:00:00.844567
2	R201	['qtm,qsm,pm,tm,var_l,qlm,skew_l']	False	0.2	decision_tree	10	25	0.12781238555908206	0.12155300685447433	0.9461192365840068	0:00:03.824001
0	R201	['qtm,qsm,pm,tm,var_l,qlm,skew_l']	False	0.2	random_forest	10	1	0.1074039414525032	0.09941735041468187	0.9494381259452191	0:00:00.445941
1	R201	['qtm,qsm,pm,tm,var_l,qlm,skew_l']	False	0.2	random_forest	10	5	0.118556946516037	0.10830414019473428	0.9165043049516822	0:00:02.350692
2	R201	['qtm,qsm,pm,tm,var_l,qlm,skew_l']	False	0.2	random_forest	10	25	0.1296004354953766	0.11239165894661954	0.8907775085767204	0:00:10.591192
3	R201	['qtm,qsm,pm,tm,var_l,qlm,skew_l']	False	0.2	random_forest	10	125	0.13948267698287964	0.10848149545823554	0.815517874402593	0:00:56.650611
4	R201	['qtm,qsm,pm,tm,var_l,qlm,skew_l']	False	0.2	random_forest	10	625	0.1469765156507492	0.08420953378903773	0.6327421754496256	0:04:25.022101
0	R012	['qtm,qsm,pm,tm,qlm,skew_l,var_l']	False	0.2	decision_tree	10	0125	0.13713544607162476	0.12283455762389399	0.8925816981954637	0:00:16.864133
1	R012	['qtm,qsm,pm,tm,qlm,skew_l,var_l']	False	0.2	decision_tree	10	00625	0.14723338186740875	0.11378461164435115	0.7712363587058281	0:01:17.509655
0	R120	['qtm,qsm,pm,tm,skew_l,var_l,qlm']	False	0.2	random_forest	10	1	0.10327586531639099	0.09777210489169605	0.9438042468142628	0:00:00.416434
1	R120	['qtm,qsm,pm,tm,skew_l,var_l,qlm']	False	0.2	random_forest	10	05	0.12105616182088852	0.10822086048113168	0.9182925931199406	0:00:01.421584
2	R120	['qtm,qsm,pm,tm,skew_l,var_l,qlm']	False	0.2	random_forest	10	025	0.13048295676708221	0.11236550808793885	0.8982382562615921	0:00:05.938238
3	R120	['qtm,qsm,pm,tm,skew_l,var_l,qlm']	False	0.2	random_forest	10	0125	0.1386166661977768	0.1066862712895483	0.8251481241247567	0:00:33.095576
4	R120	['qtm,qsm,pm,tm,skew_l,var_l,qlm']	False	0.2	random_forest	10	00625	0.1467023342847824	0.08295163333063967	0.6386300045999198	0:02:16.166592
