	input_vars_id	input_vars	satdeficit	eval_fraction	regtypes	tree_maxdepth	subdomain_sizes	refstd	samplestd	samplecorr	exectime
0	R	['qtm,qsm,pm,tm']	False	0.2	random_forest	10	1	0.10897257179021837	0.07105223537519714	0.7735562152739708	0:00:00.285871
1	R	['qtm,qsm,pm,tm']	False	0.2	random_forest	10	05	0.11626671254634854	0.07299790696838468	0.7308491666062864	0:00:01.091573
2	R	['qtm,qsm,pm,tm']	False	0.2	random_forest	10	025	0.12876306474208832	0.07829111750543978	0.7086501585198413	0:00:05.871664
3	R	['qtm,qsm,pm,tm']	False	0.2	random_forest	10	0125	0.13843724131584167	0.0842332827797956	0.6847957146723879	0:00:24.928322
0	R	['qtm,qsm,pm,tm']	False	0.2	random_forest	10	1	0.1097681000828743	0.0707773483874865	0.7684250169404501	0:00:00.238673
1	R	['qtm,qsm,pm,tm']	False	0.2	random_forest	10	05	0.11939660459756853	0.07553667781765283	0.7184169200030047	0:00:01.071364
2	R	['qtm,qsm,pm,tm']	False	0.2	random_forest	10	025	0.12936247885227206	0.07851809369710137	0.7112477242248377	0:00:04.974230
3	R	['qtm,qsm,pm,tm']	False	0.2	random_forest	10	0125	0.1388716846704483	0.08360039946941003	0.6805852107588116	0:00:23.209660
4	R	['qtm,qsm,pm,tm']	False	0.2	random_forest	10	00625	0.1468130350112915	0.06855110255706981	0.5868074212284237	0:01:55.731725
0	R	['qtm,qsm,pm,tm']	False	0.2	random_forest	10	1	0.10936220735311508	0.06748882449464183	0.7622818351205505	0:00:00.254244
1	R	['qtm,qsm,pm,tm']	False	0.2	random_forest	10	05	0.12086261063814165	0.07323367487779223	0.7412951345904361	0:00:01.045157
2	R	['qtm,qsm,pm,tm']	False	0.2	random_forest	10	025	0.12886357307434082	0.07691364884427182	0.7151503614985373	0:00:04.849658
3	R	['qtm,qsm,pm,tm']	False	0.2	random_forest	10	0125	0.1371188461780548	0.08402317505444397	0.6867607000727307	0:00:22.896312
0	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	1	0.10903409123420717	0.10055428291903397	0.9339966106440374	0:00:00.292106
1	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	05	0.12124154716730118	0.10821778687482572	0.9179858781379002	0:00:01.687640
2	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	025	0.12911191582679749	0.11265820240257242	0.8904313118698206	0:00:08.224281
3	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	0125	0.13898415863513947	0.10639963777148684	0.8051754978965786	0:00:35.720345
4	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	00625	0.14641468226909635	0.08148381056052917	0.6234859917253259	0:03:06.987209
0	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	1	0.10691526532173157	0.09844070951941096	0.939872740865597	0:00:00.318774
1	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	05	0.11984344571828842	0.10867333880600928	0.9190181876313104	0:00:01.796035
2	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	025	0.12966032326221466	0.11105616541786477	0.8877804259254747	0:00:08.880429
3	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	0125	0.13918891549110413	0.10698808618503088	0.8203546987760441	0:00:41.413635
4	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	00625	0.14710062742233276	0.08377649426642192	0.6349155885031049	0:03:17.791773
