	input_vars_id	input_vars	satdeficit	eval_fraction	regtypes	tree_maxdepth	subdomain_sizes	refstd	samplestd	samplecorr	exectime
0	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	1	0.03766568750143051	0.03173655204643572	0.8769201648800644	0:00:00.341534
1	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	05	0.05029017478227616	0.040413555620834436	0.8577973821560754	0:00:01.698248
2	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	025	0.03159985691308975	0.028766306206013725	0.5492780950013801	0:00:08.070559
3	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	0125	0.05277734249830246	0.04253669903956273	0.6199482077941011	0:00:36.192434
4	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	00625	0.06179742142558098	0.049288011770801256	0.4759206270951114	0:02:44.318210
0	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	1	0.03766568750143051	0.03211790305162508	0.8660081554890031	0:00:00.458240
1	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	05	0.05029017478227616	0.040304797647018116	0.8481094510924316	0:00:01.712373
2	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	025	0.03159985691308975	0.02879514388760413	0.5426734827726379	0:00:09.006967
3	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	0125	0.05277734249830246	0.04260683180804426	0.6188957139227519	0:00:40.563930
4	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	00625	0.06179742142558098	0.05118990456294799	0.4761484720085576	0:02:49.888125
0	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	1	0.03766568750143051	0.03190934911119885	0.8773947636462212	0:00:00.476640
1	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	05	0.05029017478227616	0.04028373389548818	0.8569209101054973	0:00:01.793779
2	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	025	0.03159985691308975	0.02760482196630289	0.5662134179587048	0:00:08.689070
3	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	0125	0.05277734249830246	0.04248690122456685	0.6313308764508556	0:00:39.313229
4	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	00625	0.06179742142558098	0.0501643737571392	0.4737514096428056	0:02:49.000948
0	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	1	0.03766568750143051	0.031545273100679554	0.8868820692490794	0:00:00.322955
1	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	05	0.05029017478227616	0.04024232776038026	0.8589196902129315	0:00:01.870651
2	R	['qtm,qsm,pm,tm,qlm']	False	0.2	random_forest	10	025	0.03159985691308975	0.028952075553428488	0.5360996786199405	0:00:08.543489
