	input_vars_id	input_vars	satdeficit	eval_fraction	regtypes	tree_maxdepth	subdomain_sizes	refstd	samplestd	samplecorr	exectime	RMSE	feature_importances
0	R310	['qtm,qsm,pm,tm,var_t,skew_l,qlm']	False	0.2	decision_tree	10	1	0.1095564141869545	0.10757509806655233	0.9662697416250212	0:00:00.164667	0.028266500681638718	{'qtm': 0.015915027, 'qsm': 0.009208827, 'pm': 0.010664379, 'tm': 0.0050161844, 'var_t': 0.018902842, 'skew_l': 0.040355682, 'qlm': 0.89993703}
0	R310	['qtm,qsm,pm,tm,var_t,skew_l,qlm']	False	0.2	decision_tree	10	05	0.11744002252817154	0.11382898565458648	0.9594095796400769	0:00:00.786303	0.0331406444311142	{'qtm': 0.03769625, 'qsm': 0.018328983, 'pm': 0.009606147, 'tm': 0.0065258644, 'var_t': 0.014861588, 'skew_l': 0.048268043, 'qlm': 0.86471313}
0	R310	['qtm,qsm,pm,tm,var_t,skew_l,qlm']	False	0.2	decision_tree	10	025	0.12889933586120605	0.12289492678754502	0.9519661512250773	0:00:03.703576	0.03946985676884651	{'qtm': 0.07479236, 'qsm': 0.039347325, 'pm': 0.006284059, 'tm': 0.0044701737, 'var_t': 0.02073005, 'skew_l': 0.052590106, 'qlm': 0.80178595}
0	R310	['qtm,qsm,pm,tm,var_t,skew_l,qlm']	False	0.2	decision_tree	10	0125	0.13893377780914307	0.12419597784513778	0.8918862573863281	0:00:18.012878	0.06283502280712128	{'qtm': 0.17249046, 'qsm': 0.10679637, 'pm': 0.0057546296, 'tm': 0.003221385, 'var_t': 0.02298648, 'skew_l': 0.02303935, 'qlm': 0.66571134}
0	R310	['qtm,qsm,pm,tm,var_t,skew_l,qlm']	False	0.2	decision_tree	10	00625	0.1467951387166977	0.11534560919759838	0.7848207375720591	0:01:20.203216	0.09097245335578918	{'qtm': 0.1409927, 'qsm': 0.08160816, 'pm': 0.12590723, 'tm': 0.05766092, 'var_t': 0.018488016, 'skew_l': 0.010271711, 'qlm': 0.5650713}
0	R310	['qtm,qsm,pm,tm,var_t,skew_l,qlm']	False	0.2	random_forest	10	1	0.10880638659000397	0.10118676642513301	0.9478001516693542	0:00:00.112069	0.03474874421954155	{'qtm': 0.0013791814, 'qsm': 0.0, 'pm': 0.0, 'tm': 0.0, 'var_t': 0.0, 'skew_l': 0.029915424, 'qlm': 0.9687054}
0	R310	['qtm,qsm,pm,tm,var_t,skew_l,qlm']	False	0.2	random_forest	10	05	0.11814108490943909	0.10661934137019606	0.919205761232756	0:00:00.607904	0.04656421020627022	{'qtm': 0.016283456, 'qsm': 0.001804332, 'pm': 0.0, 'tm': 0.0, 'var_t': 0.0, 'skew_l': 0.028333357, 'qlm': 0.9535788}
0	R310	['qtm,qsm,pm,tm,var_t,skew_l,qlm']	False	0.2	random_forest	10	025	0.12652115523815155	0.11130801516600126	0.8965822711625353	0:00:03.504605	0.05607658997178078	{'qtm': 0.036054034, 'qsm': 0.01653899, 'pm': 0.0, 'tm': 0.0, 'var_t': 0.0022567809, 'skew_l': 0.03086384, 'qlm': 0.9142864}
0	R310	['qtm,qsm,pm,tm,var_t,skew_l,qlm']	False	0.2	random_forest	10	0125	0.13873475790023804	0.1061426193845415	0.8163522440000651	0:00:19.991924	0.08044204860925674	{'qtm': 0.13312787, 'qsm': 0.070751935, 'pm': 0.0, 'tm': 0.0, 'var_t': 0.001591496, 'skew_l': 0.0016924717, 'qlm': 0.79283625}
0	R310	['qtm,qsm,pm,tm,var_t,skew_l,qlm']	False	0.2	random_forest	10	00625	0.14679883420467377	0.08175077103158382	0.6300764726522143	0:01:23.574971	0.11449933797121048	{'qtm': 0.08457284, 'qsm': 0.014677049, 'pm': 0.1617423, 'tm': 0.07205527, 'var_t': 0.0, 'skew_l': 0.0, 'qlm': 0.66695255}
